职位,学历,经验,公司,"城市,",区域,商圈,技能列表,福利列表
"C++,python教师",学历不限,经验不限,昕睿智能科技,连云港,海州区,苍梧路,"['Python', 'C语言']","['五险一金', '加班补助', '年终奖']"
少儿编程培训老师,大专,经验不限,连云港快码佳编信...,连云港,海州区,巨龙路,"['编程培训', 'c++', 'python', '算法竞赛']",[]
python工程师,本科,3-5年,连云港星元智联信...,连云港,海州区,苍梧路,"['Python', 'Java', 'Django', 'Flask', 'Numpy', 'Pandas', 'PyTorch', 'MySQL', 'MongoDB', 'Spark', '机器学习经验', '量化交易开发经验']","['交通补助', '五险一金']"
python编程老师,大专,1-3年,小龙人教育,连云港,海州区,南极路,"['Python', 'C/C++', '计算机相关专业', '数学/统计相关专业', '爬虫经验']","['员工旅游', '通讯补贴', '带薪年假', '年终奖', '五险一金', '节日福利', '加班补助']"
编程老师,大专,1-3年,艾贝儿,连云港,赣榆区,文化路,"['C++', '机器人', 'C语言', '汇编语言', '计算机软件', '人工智能', '小程序', 'Python']","['五险一金', '补充医疗保险', '定期体检']"
python全栈开发工程师,大专,3-5年,江苏宁源智能科技,连云港,海州区,苍梧路,"['Python', 'Django', 'MySQL', '团队管理经验', '项目提成']",[]
python老师,大专,1年以内,伏羲教育,连云港,海州区,南极路,['Python'],[]
软件开发工程师,大专,1-3年,荣度,连云港,海州区,通灌路,"['不接受居家办公', 'Java', 'Spring', 'MySQL']",[]
少儿编程教学主管,本科,3-5年,江苏森菓森途教育科技,连云港,海州区,巨龙路,"['编程', '机器人']","['绩效奖金', '加班补助', '交通补助', '团建聚餐', '全勤奖', '生日福利', '底薪加提成']"
区域销售经理,大专,1-3年,连云港佑民医药,连云港,海州区,通灌路,"['大数据处理经验', '团队管理经验', '不接受居家办公']",[]
Python老师,本科,1-3年,灌南县贝塔木科技...,连云港,灌南县,人民桥东,"['Python', 'C++', 'Spark']","['有无线网', '免费工装', '年终奖', '员工旅游', '底薪加提成', '工龄奖', '全勤奖', '保底工资', '团建聚餐', '绩效奖金']"
中小学进校实习兼职助教编程python和C/C++,中专/中技,经验不限,玛雅网络文化传播...,连云港,海州区,苍梧路,[],"['节日福利', '员工旅游', '零食下午茶', '年终奖', '股票期权']"
乐高编程老师,学历不限,经验不限,赣榆区青口镇奇咔...,连云港,赣榆区,环城南路,"['Python', '机器学习经验']","['补充医疗保险', '全勤奖', '员工旅游', '通讯补贴', '节日福利']"
人工智能讲师,本科,经验不限,秣马咨询,连云港,海州区,通灌路,"['公立学校', '深度学习', '线下教育', '师范类院校', '中职教师资格证', '神经网络']",[]
少儿编程教师,大专,经验不限,乐睿教育,连云港,赣榆区,金陵国际广场,['编程教师'],"['全勤奖', '五险一金', '年终奖', '节日福利', '员工旅游', '零食下午茶']"
算法工程师,硕士,1-3年,清冠科技,连云港,海州区,苍梧路,"['机器学习', '图像算法', '运筹优化算法', '大模型算法', '自然语言处理算法', '多模态算法', '大数据处理框架(Spark/Hadoop/Hive)', '风控算法']",[]
少儿编程老师,本科,经验不限,连云港九尾智狐科技,连云港,赣榆区,文化路,[],[]
数据分析师,本科,3-5年,飞鸟科技,连云港,海州区,通灌路,"['数学/统计相关专业', '数据分析/挖掘经验', '金融行业数据相关经验']",[]
