职位,学历,经验,公司,"城市,",区域,商圈,技能列表,福利列表
Python助理（双休）底薪8100,本科,经验不限,蚁匠文化传媒,北京,,,"['Python', 'MySQL', '入职五险一金', '双休']","['工龄奖', '全勤奖', '免费班车', '团建聚餐', '带薪年假', '零食下午茶', '企业年金', '节日福利', '餐补', '住房补贴', '包吃', '补充医疗保险', '保底工资', '绩效奖金', '五险一金', '包住', '宿舍有空调', '年终奖', '底薪加提成', '员工旅游']"
python开发工程师,本科,在校/应届,北京国遥,北京,朝阳区,亚运村,"['Python', 'Golang', 'PyTorch', 'TensorFlow']","['五险一金', '节日福利', '年终奖', '带薪年假', '定期体检', '员工旅游']"
python后端开发,本科,1-3年,熵简科技,北京,朝阳区,望京,"['后端', 'Python', 'MySQL']",[]
Python,本科,3-5年,天津拾翠科技发展,北京,海淀区,五棵松,"['Django', 'MySQL', 'Python']",[]
PYTHON开发工程师,本科,3-5年,北京数创世纪,北京,朝阳区,奥运村,"['阿里云', '爬虫经验', 'Django', 'MySQL', 'Python', 'Flask']","['节日福利', '带薪年假', '员工旅游', '交通补助', '年终奖', '五险一金', '餐补']"
python初级开发工程师_,大专,经验不限,三河文晟信息技术,北京,海淀区,西北旺,"['Golang', 'Java', '团队管理经验', 'Django', 'MySQL', 'Hadoop', 'Redis', '架构设计经验', 'Linux开发/部署经验', 'Python', 'Kubernetes', 'TensorFlow']",[]
python量化开发工程师,本科,5-10年,中电金信,北京,东城区,朝阳门,"['Python', 'Numpy', 'Pandas', 'MySQL', 'Oracle', '量化交易开发经验']","['五险一金', '定期体检', '节日福利', '补充医疗保险']"
python工程师（理想汽车）,大专,3-5年,中软国际,北京,顺义区,马坡,"['Python', 'Django', 'Flask', 'Docker']","['节日福利', '年终奖', '五险一金', '免费班车', '带薪年假', '定期体检', '员工旅游', '餐补', '零食下午茶', '加班补助']"
python开发工程师,本科,3-5年,泽全广告,北京,通州区,新华大街,"['爬虫经验', 'Docker', 'Django', 'MySQL', 'Redis', 'Python', 'Flask']","['定期体检', '员工旅游', '带薪年假', '通讯补贴', '五险一金', '高温补贴', '补充医疗保险', '零食下午茶', '意外险', '生日福利', '节日福利']"
python,本科,1-3年,科博纳,北京,丰台区,花乡,"['爬虫经验', 'MySQL', '机器学习经验', 'Python']","['补充医疗保险', '带薪年假', '五险一金', '员工旅游', '意外险', '绩效奖金', '定期体检', '年终奖']"
高级python开发工程师,大专,3-5年,博彦科技,北京,朝阳区,望京,"['Django', 'MySQL', '云计算经验', 'Linux开发/部署经验', 'Python']","['节日福利', '定期体检', '带薪年假', '五险一金', '年终奖', '免费班车']"
Python开发工程师,本科,5-10年,拓保软件,北京,顺义区,天竺,"['Python', 'Django', 'Flask', 'MySQL', '团队管理经验']","['团建旅游', '绩效奖金', '全勤奖', '零食下午茶', '意外险', '生日福利', '员工旅游', '五险一金', '补充医疗保险', '定期体检', '保底工资', '加班补助', '餐补', '底薪加提成', '有无线网', '节日福利', '体检', '带薪年假']"
python后端开发工程师,本科,3-5年,中科瑞河,北京,顺义区,后沙峪,"['Kafka', '云计算经验', 'MongoDB', 'Python', 'Flask']","['节日福利', '宿舍有空调', '五险一金', '包住', '带薪年假', '年终奖', '有无线网']"
PYthon开发运维工程师,本科,3-5年,高伟达软件,北京,丰台区,丽泽,"['Pandas', 'MySQL', '运维开发经验', '接受无前端经验/技能', 'Oracle', 'Linux开发/部署经验', 'Numpy', 'Python']",[]
Python 自动化工程师,本科,3-5年,北京优瑞普合规科技,北京,西城区,德胜门,"['爬虫经验', 'Pandas', 'MySQL', 'Redis', 'Selenium', 'Python']",['五险一金']
Python,大专,5-10年,北京新微科技有限公司,北京,,,"['Python', 'Django', 'Pandas', 'Nginx', 'Kafka', 'MySQL', 'Redis']","['五险一金', '加班补助', '餐补', '定期体检']"
Python开发工程师,本科,3-5年,高伟达公司,北京,顺义区,马坡,"['K8s', 'pyspark', 'redis']","['带薪年假', '餐补', '节日福利', '五险一金', '加班补助', '员工旅游', '年终奖', '零食下午茶', '补充医疗保险', '定期体检']"
初级 python 爬虫工程师,大专,1-3年,北京一路无忧科技,北京,石景山区,苹果园,"['Python', 'Selenium', '爬虫经验', 'JS逆向', 'appnium', '爬虫工程师']","['定期体检', '员工旅游', '绩效奖金', '五险一金', '工龄奖', '餐补', '节日福利', '加班补助', '带薪年假', '底薪加提成', '培训计划']"
Python开发工程师,本科,5-10年,恒正嘉华,北京,昌平区,沙河,"['MySQL', 'Linux开发/部署经验', 'Python', 'Flask']",[]
Python,本科,3-5年,浙江徽创信息技术有限,北京,朝阳区,望京,"['Python', 'Django', 'MySQL']",[]
python开发开发,大专,3-5年,尚久互动,北京,朝阳区,亚运村,"['Nginx', 'Elasticsearch', 'MySQL', 'Redis', 'Linux开发/部署经验', 'Python', 'Flask']","['团建聚餐', '年终奖', '节日福利', '五险一金', '零食下午茶']"
python高级开发工程师,本科,5-10年,大连创升科技有限公司,北京,海淀区,上地,"['Python', 'Django', 'Flask', 'MySQL', 'Redis', 'Oracle', 'Linux开发/部署经验']","['节日福利', '年终奖', '有无线网', '带薪年假', '员工旅游', '五险一金', '法定节假日三薪', '节假日加班费', '生日福利', '定期体检', '团建聚餐']"
python,大专,3-5年,鑫锡软件,北京,海淀区,学院路,"['Python', 'Golang', 'Django', 'MySQL', 'Fastapi', 'ai']",[]
Python中级工程师,大专,5-10年,天津市滨海新区捷...,北京,,,"['Python', 'Django', 'Flask', 'Tornado', 'Scrapy', 'Numpy', 'MySQL', 'Redis', 'Oracle', 'MongoDB', 'HBase', '团队管理经验', '架构设计经验', 'Linux开发/部署经验', '分布式经验', '微服务经验']",[]
Python(英语流利),本科,3-5年,CLPS华钦软件,北京,朝阳区,朝外,"['Python', 'Docker', 'MySQL', '云计算经验']","['带薪年假', '年终奖', '节日福利', '五险一金', '定期体检', '零食下午茶', '加班补助', '补充医疗保险', '全勤奖']"
Python-大模型应用开发,本科,1-3年,北京朗韵科技有限公司,北京,朝阳区,高碑店,"['Python', 'PyTorch', 'MySQL', '架构设计经验']",[]
Python 后端开发工程师,大专,1-3年,北京赛博创力科技,北京,昌平区,沙河,"['Docker', 'Django', 'PostgreSQL', 'MySQL', 'Redis', '架构设计经验', 'Linux开发/部署经验', 'Python', 'Flask']","['有无线网', '年终奖', '绩效奖金', '员工旅游', '团建聚餐', '五险一金']"
python,本科,1-3年,易宝软件,北京,,,"['Python', '机器人', '机械臂']","['零食下午茶', '双休', '节日福利', '五险一金', '夜班补助', '通讯补贴', '交通补助', '六险一金', '员工旅游', '带薪年假', '加班补助', '节假日加班费', '餐补', '工龄奖', '年终奖', '绩效奖金', '企业年金', '法定节假日三薪', '定期体检', '补充医疗保险']"
python后端工程师,本科,3-5年,智慧星光,北京,海淀区,苏州桥,"['MySQL', 'Python']","['带薪年假', '五险一金', '通讯补贴', '股票期权', '加班补助', '交通补助', '定期体检', '员工旅游', '年终奖', '全勤奖', '节日福利']"
python工程师,本科,3-5年,模景未来,北京,东城区,东四,"['Python', 'Numpy', 'MySQL']",[]
Python,大专,1-3年,嘉为科技,北京,朝阳区,劲松,"['Python', 'Django', 'MongoDB', 'MySQL', '运维开发经验']","['带薪年假', '通讯补贴', '节日福利', '五险一金', '股票期权', '年终奖', '绩效奖金', '定期体检', '生日福利']"
