职位,学历,经验,技能列表,年薪,公司,公司规模,城市,区域
python Java vue小程序安卓app软件开发兼职,大专,经验不限,"['Java', 'Python', 'Spring', 'MySQL']",138,南京万迅,微型企业,南京,建邺区
python,本科,3-5年,"['Python', 'Flask', 'MySQL']",138,湖北特为,微型企业,南京,雨花台区
Python,本科,3-5年,"['深度学习', '大模型算法', '模型加速/性能优化', 'Python']",234,深圳微蚂蚁,中型企业,南京,浦口区
python（双休）,大专,1-3年,"['Metasploit', 'Django', '渗透测试', '网络安全', '源代码审计', 'Python', 'Flask']",132,绿和,小型企业,南京,雨花台区
Python开发（接受小白 六险一金）,本科,经验不限,"['后端', '数据开发', 'Python', 'C/C++', 'Shell', '计算机相关专业', '爬虫经验']",480,某大型互联网公司,超大型企业,南京,
Python开发/大数据开发,本科,经验不限,"['Python', 'PyTorch', 'MySQL']",315,华为云计算,超大型企业,南京,雨花台区
python工程师,大专,1-3年,"['Java', 'PyTorch', 'PostgreSQL', 'Pandas', 'MySQL', 'MongoDB', 'Numpy', 'Python', 'TensorFlow']",78,南京捷物,小型企业,南京,建邺区
python,本科,3-5年,"['Python', 'Django']",162,嘻码科技(北京),中型企业,南京,建邺区
python开发工程师,本科,1-3年,"['爬虫经验', 'Pandas', 'MySQL', 'MongoDB', 'Numpy', 'Python']",136,优泰科技,小型企业,南京,建邺区
Python开发工程师 国企稳定 团队氛围好,本科,1-3年,"['Python', 'Pandas', 'Django', 'Flask', 'MySQL', 'Linux开发/部署经验', '国企稳定 氛围好']",270,某大型保险公司（江苏）,超大型企业,南京,
Python开发工程师（急招、线上面试）,本科,3-5年,"['Python', 'Docker', 'Flask', 'Django', 'MySQL']",144,上海思芮,大型企业,南京,雨花台区
Python现场面试（3-5年）,大专,3-5年,['Python'],138,博锐星润,中型企业,南京,鼓楼区
java，JS，python，C/C++ 软件开发工程师,本科,经验不限,"['Java', 'C++', 'C', 'QT', '分布式经验', 'PostgreSQL', '嵌入式软件经验', 'STL', 'MFC', 'JavaScript', 'MySQL', '架构设计经验', 'Linux开发/部署经验', '鸿蒙系统开发经验', 'Python']",480,华为,超大型企业,南京,雨花台区
软件测试 或 开发工程师（Java/Python/C++),本科,1-3年,"['Java', 'C', 'C++', 'Spring', 'MySQL', 'Redis']",224,西安英沃诺克信息技术,中型企业,南京,雨花台区
Python-统招本科-wb6wwa,大专,3-5年,"['fastapi', 'Django', 'MySQL', 'Redis', 'MongoDB', 'Python', 'Flask', 'Kubernetes']",132,版石控股集团有限公司,中型企业,南京,江宁区
软件测试（python,本科,1-3年,"['自动化测试', '功能测试', 'Python']",150,软通动力,超大型企业,南京,江宁区
python开发（福利好，加班双倍，线上面试）,本科,1-3年,"['C++', 'Scrapy', '分布式经验', '微服务经验', 'Django', '云计算经验', 'Spark']",114,拓维云创,大型企业,南京,雨花台区
央企正编-Python工程师,本科,1-3年,"['Python', 'Numpy', 'Pandas', 'Flask', 'Django', 'MySQL', 'Oracle', 'HBase', 'Linux开发/部署经验']",246,北京某大型互联网金融上市公司,大型企业,南京,
python算法工程师（外包国睿科技）,本科,3-5年,"['Python', 'Django', 'MySQL', '算法']",138,雀翼科技,中型企业,南京,江宁区
Python,本科,经验不限,"['Python', 'Django', 'MySQL', 'Redis', 'Oracle', '分布式经验', '微服务经验']",318,华为终端有限公司,超大型企业,南京,雨花台区
python开发工程师,本科,1-3年,"['Python', '爬虫经验', 'ai算法']",102,华通科技,中大型企业,南京,雨花台区
Python,本科,3-5年,"['python', 'Linux开发/部署经验', 'Python']",132,鑫燃科技,中型企业,南京,
Python（线上面试流程快）,本科,经验不限,"['Python', 'MySQL']",360,某500强上市公司,超大型企业,南京,
python爬虫,大专,经验不限,"['Python', 'Selenium', 'MySQL', '爬虫经验']",78,南京爱辉文化传媒...,小型企业,南京,玄武区
Python机器学习/深度学习开发技术员,本科,在校/应届,"['Python', 'Numpy', 'Pandas', 'PyTorch', 'TensorFlow', '其他', 'MySQL', '其他', '机器学习经验']",192,南京腾思网络科技,小型企业,南京,浦口区
Python-大模型-双休-短期2个月_wh3zyhx,大专,5-10年,"['Python', 'Kubernetes', 'Docker', 'Django']",138,版石软件(上海),微型企业,南京,
Python（13薪+全额公积金+双休）,大专,3-5年,"['C++', '爬虫经验', 'PyTorch', 'MySQL', 'python开发', 'Python']",175,中软国际科技,超大型企业,南京,雨花台区
后端开发Python为主,本科,经验不限,"['Docker', 'Django', 'PostgreSQL', 'MySQL', 'Python', 'Flask']",192,小冻梨智能,微型企业,南京,江宁区
Python,本科,经验不限,"['Python', '人工智能', '机器人', '智能驾驶']",123,福尔摩斯智能科技,小型企业,南京,江宁区
Python,本科,经验不限,['Python'],360,某知名互联网上市公司,大型企业,南京,
Python开发设计师,大专,经验不限,"['Python', 'Java', 'Kafka', 'TensorFlow', 'Redis', '架构设计经验']",221,今夜到家健康科技,小型企业,南京,鼓楼区
C/C++/java/python/web/算法/测试,本科,经验不限,"['Java', 'C++', 'C', 'Scrapy', 'Tornado', 'Flask', 'MySQL', 'Redis', 'Oracle']",315,西安华为技术有限公司,大型企业,南京,雨花台区
Python,本科,3-5年,"['爬虫经验', '微服务经验', 'Django', 'MySQL', 'Redis', 'MongoDB', '架构设计经验', 'Numpy', 'Python', 'Flask']",150,南京玻尔兹曼信息科技,微型企业,南京,浦口区
python高级开发工程师,本科,3-5年,"['Python', 'Django', 'Numpy', 'Flask', 'Pandas', 'MySQL', 'Oracle', 'Redis', 'Hadoop', 'Spark', '运维开发经验']",204,湖北科之锐教育科技,小型企业,南京,秦淮区
python开发工程师,本科,1-3年,"['Django', 'MySQL', 'AI', 'Python']",132,明月华炎,中型企业,南京,
Python,本科,3-5年,"['Python', 'Java', 'Docker', 'MySQL', 'Redis', 'Oracle', 'Linux开发/部署经验', '分布式经验', '爬虫经验']",126,慧诺科技,小型企业,南京,雨花台区
python开发工程师,本科,1-3年,"['Django', 'MySQL', 'Python', 'Flask']",162,中创书局,中型企业,南京,
理工科！python编程老师双休六险一金长期班,本科,经验不限,['Python'],114,核桃编程,大型企业,南京,
python开发工程师+外包+芜湖工作,本科,5-10年,"['Python', 'Django', 'Kafka', 'MySQL', 'MongoDB']",216,海通安恒,大型企业,南京,玄武区
Python 后端工程师,大专,1-3年,"['接受无数字后端工程师经验', 'python', 'java']",120,中数智美,小型企业,南京,
python开发工程师,本科,3-5年,"['Python', 'Django', 'Scrapy', 'Elasticsearch', 'Nginx', 'Pandas', 'Redis', 'PostgreSQL', 'Linux开发/部署经验', '分布式经验']",210,国投智能（南京）,中型企业,南京,雨花台区
Python/Perl后台开发工程师,本科,3-5年,"['软件工程师', 'python', 'perl']",196,中盈优创,大型企业,南京,建邺区
Python（AI工具）—电力外包+双休,本科,3-5年,"['Python', 'Java', 'Django', 'Flask', 'Kubernetes', 'Docker', 'PyTorch', 'MySQL', 'AI 工具 langchain', 'FastGPT、Dify', 'LLMOpS']",156,润和软件,超大型企业,南京,鼓楼区
python开发工程师,大专,1-3年,"['Golang', 'Django', 'Flask', 'MySQL', 'Redis', 'Python']",138,拾柴信息,中型企业,南京,浦口区
Python,本科,经验不限,"['PyTorch', 'MySQL', '机器学习经验', 'Redis', '其他', 'Oracle', 'Linux开发/部署经验', 'Python', 'TensorFlow', 'HBase']",143,中国电科28所,大型企业,南京,栖霞区
python数据开发工程师,学历不限,3-5年,"['flink', 'Pvthon', '爬虫经验', 'Scala', '大数据处理', '其他', 'Python']",204,落尘文学,小型企业,南京,雨花台区
python开发工程师,本科,3-5年,['Python'],180,艺赛旗,中型企业,南京,栖霞区
python开发工程师,本科,3-5年,"['Python', 'Django', 'Flask', 'Docker', 'Kubernetes', 'Nginx', 'Redis', 'PostgreSQL', '大模型', '智能体', 'Langchain']",192,中新赛克,大型企业,南京,雨花台区
Python开发,本科,3-5年,"['k8s', 'Python']",174,法本,超大型企业,南京,雨花台区
python开发,本科,3-5年,"['Django', 'MySQL', '架构设计经验', 'Python', 'Flask']",195,南京瑞玥科技有限公司,中型企业,南京,鼓楼区
人工智能 python,大专,3-5年,"['Python', '团队管理经验', '有没有会人工智能 python的啊']",132,翀之羽,小型企业,南京,浦口区
Python,本科,1-3年,"['Golang', 'Scrapy', '分布式经验', 'PostgreSQL', '机器学习经验', 'Redis', '爬虫经验', 'Elasticsearch', 'MySQL', 'Pandas', '运维开发经验', 'MongoDB', 'Selenium', 'Linux开发/部署经验', 'Flask', 'Python']",150,兔酱,中型企业,南京,江宁区
人工智能Python后端开发工程师,本科,3-5年,"['Docker', 'Django', 'Pandas', 'MySQL', 'Redis', 'Numpy', 'Python', 'Flask']",180,同创有云,小型企业,南京,鼓楼区
中级python开发工程师,本科,3-5年,"['爬虫', 'Linux', 'Django', 'MySQL', 'Python后端', '国产化适配', '大模型', 'Linux开发/部署经验', 'Python', 'Flask']",126,开缘防务,微型企业,南京,栖霞区
Python开发（AI或者数字人）,本科,3-5年,"['Python', 'Docker', 'MySQL', 'MongoDB']",186,江苏上古,中型企业,南京,江宁区
python开发工程师（自研）,本科,3-5年,"['Python', 'Scrapy', 'Selenium', 'MySQL', '爬虫经验']",132,南京品德网络信息技术,小型企业,南京,雨花台区
