职位,学历,经验,技能列表,薪资,公司,公司人数,"城市,",区域
python Java vue小程序安卓app软件开发兼职,大专,经验不限,"['Java', 'Python', 'Spring', 'MySQL']",11-12K,南京万迅,0-20人,南京,建邺区
python,本科,3-5年,"['Python', 'Flask', 'MySQL']",9-14K,湖北特为,0-20人,南京,雨花台区
Python,本科,3-5年,"['深度学习', '大模型算法', '模型加速/性能优化', 'Python']",14-25K,深圳微蚂蚁,100-499人,南京,浦口区
python（双休）,大专,1-3年,"['Metasploit', 'Django', '渗透测试', '网络安全', '源代码审计', 'Python', 'Flask']",10-12K,绿和,20-99人,南京,雨花台区
Python开发（接受小白 六险一金）,本科,经验不限,"['后端', '数据开发', 'Python', 'C/C++', 'Shell', '计算机相关专业', '爬虫经验']",20-40K·16薪,某大型互联网公司,10000人以上,南京,
Python开发/大数据开发,本科,经验不限,"['Python', 'PyTorch', 'MySQL']",15-30K·14薪,华为云计算,10000人以上,南京,雨花台区
python工程师,大专,1-3年,"['Java', 'PyTorch', 'PostgreSQL', 'Pandas', 'MySQL', 'MongoDB', 'Numpy', 'Python', 'TensorFlow']",5-8K,南京捷物,20-99人,南京,建邺区
python,本科,3-5年,"['Python', 'Django']",11-16K,嘻码科技(北京),100-499人,南京,建邺区
python开发工程师,本科,1-3年,"['爬虫经验', 'Pandas', 'MySQL', 'MongoDB', 'Numpy', 'Python']",8-13K·13薪,优泰科技,20-99人,南京,建邺区
Python开发工程师 国企稳定 团队氛围好,本科,1-3年,"['Python', 'Pandas', 'Django', 'Flask', 'MySQL', 'Linux开发/部署经验', '国企稳定 氛围好']",15-30K,某大型保险公司（江苏）,10000人以上,南京,
Python开发工程师（急招、线上面试）,本科,3-5年,"['Python', 'Docker', 'Flask', 'Django', 'MySQL']",10-14K,上海思芮,1000-9999人,南京,雨花台区
Python现场面试（3-5年）,大专,3-5年,['Python'],9-14K,博锐星润,100-499人,南京,鼓楼区
java，JS，python，C/C++ 软件开发工程师,本科,经验不限,"['Java', 'C++', 'C', 'QT', '分布式经验', 'PostgreSQL', '嵌入式软件经验', 'STL', 'MFC', 'JavaScript', 'MySQL', '架构设计经验', 'Linux开发/部署经验', '鸿蒙系统开发经验', 'Python']",20-40K·16薪,华为,10000人以上,南京,雨花台区
兼职python,学历不限,经验不限,"['Python', 'C++', 'C', 'Django', 'Flask', 'PyTorch', 'MySQL', 'Redis', 'PostgreSQL', '爬虫经验', '机器学习经验']",30-60元/时,南京迪牧智能科技,0-20人,南京,雨花台区
软件测试 或 开发工程师（Java/Python/C++),本科,1-3年,"['Java', 'C', 'C++', 'Spring', 'MySQL', 'Redis']",14-18K·14薪,西安英沃诺克信息技术,100-499人,南京,雨花台区
Python-统招本科-wb6wwa,大专,3-5年,"['fastapi', 'Django', 'MySQL', 'Redis', 'MongoDB', 'Python', 'Flask', 'Kubernetes']",9-13K,版石控股集团有限公司,100-499人,南京,江宁区
软件测试（python,本科,1-3年,"['自动化测试', '功能测试', 'Python']",10-15K,软通动力,10000人以上,南京,江宁区
python开发（福利好，加班双倍，线上面试）,本科,1-3年,"['C++', 'Scrapy', '分布式经验', '微服务经验', 'Django', '云计算经验', 'Spark']",9-10K,拓维云创,1000-9999人,南京,雨花台区
央企正编-Python工程师,本科,1-3年,"['Python', 'Numpy', 'Pandas', 'Flask', 'Django', 'MySQL', 'Oracle', 'HBase', 'Linux开发/部署经验']",20-21K,北京某大型互联网金融上市公司,1000-9999人,南京,
python算法工程师（外包国睿科技）,本科,3-5年,"['Python', 'Django', 'MySQL', '算法']",9-14K,雀翼科技,100-499人,南京,江宁区
Python开发实习生-南京,本科,在校/应届,['实习生招聘'],面议,亚信科技,10000人以上,南京,
Python,本科,经验不限,"['Python', 'Django', 'MySQL', 'Redis', 'Oracle', '分布式经验', '微服务经验']",18-35K,华为终端有限公司,10000人以上,南京,雨花台区
python开发工程师,本科,1-3年,"['Python', '爬虫经验', 'ai算法']",6-11K,华通科技,500-999人,南京,雨花台区
Python,本科,3-5年,"['python', 'Linux开发/部署经验', 'Python']",9-13K,鑫燃科技,100-499人,南京,
Python（线上面试流程快）,本科,经验不限,"['Python', 'MySQL']",15-30K·16薪,某500强上市公司,10000人以上,南京,
python工程师（线上兼职，全栈最佳）,大专,经验不限,"['Python', 'Flask', 'MySQL']",80-120元/时,带新娱乐,0-20人,南京,江宁区
python爬虫,大专,经验不限,"['Python', 'Selenium', 'MySQL', '爬虫经验']",5-8K,南京爱辉文化传媒...,20-99人,南京,玄武区
Python机器学习/深度学习开发技术员,本科,在校/应届,"['Python', 'Numpy', 'Pandas', 'PyTorch', 'TensorFlow', '其他', 'MySQL', '其他', '机器学习经验']",12-20K,南京腾思网络科技,20-99人,南京,浦口区
Python-大模型-双休-短期2个月_wh3zyhx,大专,5-10年,"['Python', 'Kubernetes', 'Docker', 'Django']",11-12K,版石软件(上海),0-20人,南京,
Python（13薪+全额公积金+双休）,大专,3-5年,"['C++', '爬虫经验', 'PyTorch', 'MySQL', 'python开发', 'Python']",13-14K·13薪,中软国际科技,10000人以上,南京,雨花台区
后端开发Python为主,本科,经验不限,"['Docker', 'Django', 'PostgreSQL', 'MySQL', 'Python', 'Flask']",12-20K,小冻梨智能,0-20人,南京,江宁区
Python,本科,经验不限,"['Python', '人工智能', '机器人', '智能驾驶']",7-12K·13薪,福尔摩斯智能科技,20-99人,南京,江宁区
python实习生,本科,,"['Python', 'Numpy', 'Pandas', 'Docker', 'MySQL', 'Redis']",100-150元/天,星赫能源科技,20-99人,南京,雨花台区
Python,本科,经验不限,['Python'],15-30K·16薪,某知名互联网上市公司,1000-9999人,南京,
python实习生,本科,,"['爬虫经验', 'PyTorch', 'Docker', 'MySQL', 'Python']",100-150元/天,CYCLONE RPA,500-999人,南京,雨花台区
Python开发设计师,大专,经验不限,"['Python', 'Java', 'Kafka', 'TensorFlow', 'Redis', '架构设计经验']",13-21K·13薪,今夜到家健康科技,20-99人,南京,鼓楼区
C/C++/java/python/web/算法/测试,本科,经验不限,"['Java', 'C++', 'C', 'Scrapy', 'Tornado', 'Flask', 'MySQL', 'Redis', 'Oracle']",15-30K·14薪,西安华为技术有限公司,1000-9999人,南京,雨花台区
Python,本科,3-5年,"['爬虫经验', '微服务经验', 'Django', 'MySQL', 'Redis', 'MongoDB', '架构设计经验', 'Numpy', 'Python', 'Flask']",10-15K,南京玻尔兹曼信息科技,0-20人,南京,浦口区
python高级开发工程师,本科,3-5年,"['Python', 'Django', 'Numpy', 'Flask', 'Pandas', 'MySQL', 'Oracle', 'Redis', 'Hadoop', 'Spark', '运维开发经验']",16-18K,湖北科之锐教育科技,20-99人,南京,秦淮区
python开发工程师,本科,1-3年,"['Django', 'MySQL', 'AI', 'Python']",10-12K,明月华炎,100-499人,南京,
Python开发工程师 实习生,本科,,"['网络爬虫技术', 'Django', 'Flask', 'Scrapy', 'Pyspider']",100-200元/天,边缘智能研究院,20-99人,南京,
Python,本科,3-5年,"['Python', 'Java', 'Docker', 'MySQL', 'Redis', 'Oracle', 'Linux开发/部署经验', '分布式经验', '爬虫经验']",8-13K,慧诺科技,20-99人,南京,雨花台区
